Word		Original_feature		Predicted_feature
का		UNK		UNK
उत्पादन		3		3
कम		UNK		UNK
रहने		any		any
की		UNK		UNK
उम्मीद		3		3
की		3		3
जा		any		any
रही		any		any
है		3		3
।		UNK		UNK
उद्योग		3		3
जगत		3		3
दावा		3		3
करता		3		3
है		3		3
कि		UNK		UNK
इस		3		3
खरीफ		3		3
सीज़न		3		3
के		UNK		UNK
दौरान		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
पिछले		UNK		UNK
साल		3		3
की		UNK		UNK
तुलना		UNK		3
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		3		3
।		UNK		UNK
उद्योग		3		3
के		UNK		UNK
मुताबिक		UNK		UNK
इस		3		3
साल		3		3
तिलहन		3		3
उत्पादन		3		3
करीब		UNK		UNK
130.4		UNK		UNK
लाख		UNK		UNK
टन		3		3
होगा		3		3
।		UNK		UNK
जो		3		3
पिछले		UNK		UNK
साल		3		3
के		UNK		UNK
उत्पादन		3		3
में		UNK		UNK
करीब		UNK		UNK
6.8		UNK		UNK
लाख		UNK		UNK
टन		3		3
ज्यादा		UNK		UNK
है		3		3
।		UNK		UNK
पिछले		UNK		UNK
साल		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
123		UNK		UNK
लाख		UNK		UNK
टन		3		3
हुआ		any		any
था		any		any
।		UNK		UNK
उद्योग		3		3
का		UNK		UNK
अनुमान		3		3
है		3		3
कि		UNK		UNK
इस		3		3
साल		3		3
मूँगफली		3		3
का		UNK		UNK
उत्पादन		3		3
56.5		UNK		UNK
लाख		UNK		UNK
टन		3		3
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		3		3
का		UNK		UNK
उत्पादन		3		3
53.6		UNK		UNK
लाख		UNK		UNK
टन		3		3
होगा		3		3
।		UNK		UNK
जबकि		UNK		UNK
पिछले		UNK		UNK
साल		3		3
मूँगफली		3		3
का		UNK		UNK
उत्पादन		3		3
44.5		UNK		UNK
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		3		3
का		UNK		UNK
उत्पादन		3		3
58.5		UNK		UNK
लाख		UNK		UNK
टन		3		3
हुआ		any		any
था		any		any
।		UNK		UNK
कृषि		3		3
मंत्रालय		3		3
उद्योग		3		3
जगत		3		3
के		UNK		UNK
इन		3		3
आँकड़ों		3		3
से		UNK		UNK
इत्तेफाक		3		3
नहीं		UNK		UNK
रखता		3		3
है		3		3
और		UNK		UNK
उसके		3		3
मुताबिक		UNK		UNK
इस		3		3
साल		3		3
तिहलन		3		3
उत्पादन		3		3
में		UNK		UNK
करीब		UNK		UNK
2.5		UNK		UNK
फीसदी		3		3
की		UNK		UNK
कमी		3		3
आ		3		3
सकती		any		any
है		3		3
।		UNK		UNK
इस		3		3
साल		3		3
महाराष्ट्र		3		3
और		UNK		UNK
गुजरात		3		3
में		UNK		UNK
ज्यादा		UNK		UNK
बारिश		3		3
का		UNK		UNK
असर		3		3
तिलहन		3		3
उत्पादन		3		3
पर		UNK		UNK
पड़ा		3		3
है		3		3
।		UNK		UNK
पिछले		UNK		UNK
साल		3		3
149.4		UNK		UNK
लाख		UNK		UNK
टन		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
हुआ		any		any
था		any		any
।		UNK		UNK
मंत्रालय		3		3
का		UNK		UNK
कहना		any		any
है		3		3
कि		UNK		UNK
इस		3		3
साल		3		3
मूँगफली		3		3
का		UNK		UNK
उत्पादन		3		3
59.4		UNK		UNK
लाख		UNK		UNK
टन		3		3
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		3		3
का		UNK		UNK
65.8		UNK		UNK
लाख		UNK		UNK
टन		3		3
होने		any		any
की		UNK		UNK
संभावना		3		3
है		3		3
।		UNK		UNK
बैजोरिया		3		3
का		UNK		UNK
कहना		any		any
है		3		3
कि		UNK		UNK
इन		3		3
आँकड़ों		3		3
में		UNK		UNK
अंतर		3		3
का		UNK		UNK
असर		3		3
तिलहन		3		3
की		UNK		UNK
कीमतों		3		3
पर		UNK		UNK
नहीं		UNK		UNK
पड़ता		3		any
है		3		3
।		UNK		UNK
उनका		3h		3h
कहना		any		any
है		3		3
कि		UNK		UNK
उनके		3h		3h
पास		3		3
ये		3		3
आँकड़ें		3		3
स्थानीय		UNK		UNK
स्तर		3		3
पर		UNK		UNK
आते		3		3
हैं		3		3
जो		3		3
पूरी		UNK		UNK
तरह		3		3
से		UNK		UNK
सही		UNK		UNK
होते		3		3
हैं		3		3
।		UNK		UNK
पाकिस्तान		3		3
क्रिकेट		3		3
बोर्ड		3		3
(		UNK		UNK
पीसीबी		3		3
)		UNK		UNK
ने		UNK		UNK
भारत		3		3
-		UNK		UNK
पाकिस्तान		3		3
क्रिकेट		3		3
मैच		3		3
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
कांग्रेस		3		3
सांसद		3		3
राहुल		3		3
गांधी		3		3
और		UNK		UNK
उनकी		3h		3h
बहन		3		3
प्रियंका		3		3
वाड्रा		3		3
को		UNK		UNK
निमंत्रण		3		3
भेजा		3		3
है		3		3
।		UNK		UNK
मीडिया		3		3
रिपोर्टों		3		3
के		UNK		UNK
मुताबिक		UNK		UNK
भारत		3		3
के		UNK		UNK
खिलाफ		UNK		UNK
जारी		UNK		UNK
क्रिकेट		3		3
श्रृंखला		3		3
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
बोर्ड		3		3
द्वारा		UNK		UNK
कांग्रेस		3		3
अध्यक्ष		3		3
सोनिया		3		3
गांधी		3		3
को		UNK		UNK
भी		UNK		UNK
निमंत्रण		3		3
भेजा		3		3
जा		any		any
सकता		any		any
है		3		3
।		UNK		UNK
पीसीबी		3		3
निदेशक		3		3
(		UNK		UNK
बोर्ड		3		3
ऑपरेशंस		3		3
)		UNK		UNK
अब्बास		3		3
जैदी		3		3
के		UNK		UNK
हवाले		UNK		UNK
से		UNK		UNK
एक		UNK		UNK
लोकल		UNK		3
टीवी		3		3
चैनल		3		3
ने		UNK		UNK
बताया		3		3
है		3		3
कि		UNK		UNK
बोर्ड		3		3
के		UNK		UNK
चेयरमैन		3		3
शहरयार		3		3
खान		3		3
ने		UNK		UNK
पाकिस्तान		3		3
में		UNK		UNK
जारी		UNK		UNK
क्रिकेट		3		3
मैचों		3		3
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
राहुल		3		3
व		UNK		UNK
प्रियंका		3		3
को		UNK		UNK
निमंत्रण		3		3
भेजा		3		3
है		3		3
।		UNK		UNK
'		UNK		UNK
दी		3		UNK
न्यूज		3		3
'		UNK		UNK
के		UNK		UNK
मुताबिक		UNK		UNK
बोर्ड		3		3
द्वारा		UNK		UNK
सोनिया		3		3
को		UNK		UNK
भी		UNK		UNK
निमंत्रण		3		3
भेजे		any		any
जाने		any		any
की		UNK		UNK
संभावना		3		3
है		3		3
।		UNK		UNK
उपर्युक्त		UNK		UNK
लोगों		3		3
के		UNK		UNK
अलावा		UNK		UNK
कराची		3		3
में		UNK		UNK
होने		any		any
वाले		UNK		UNK
तीसरे		UNK		UNK
टेस्ट		3		3
व		UNK		UNK
उसके		3		3
बाद		3		3
पांच		UNK		UNK
एक		UNK		UNK
दिवसीय		UNK		UNK
मैचों		3		3
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
कुछ		UNK		UNK
पूर्व		UNK		UNK
टेस्ट		3		3
खिलाड़ियों		3		3
को		UNK		UNK
भी		UNK		UNK
आमंत्रित		UNK		UNK
किया		3		3
गया		any		any
है		3		3
।		UNK		UNK
राज्यसभा		3		3
में		UNK		UNK
विपक्ष		3		3
के		UNK		UNK
नेता		3		3
जसवंत		3		3
सिंह		3		3
ने		UNK		UNK
शनिवार		3		3
को		UNK		UNK
तीर्थ		3		3
-		UNK		UNK
यात्रा		3		3
पर		UNK		UNK
पाकिस्तान		3		3
जाने		any		any
की		UNK		UNK
घोषणा		3		3
की		any		any
।		UNK		UNK
यात्रा		3		3
के		UNK		UNK
दौरान		3		3
वे		3h		3h
मोहम्मद		3		3
अली		3		3
जिन्ना		3		3
की		UNK		UNK
मज़ार		3		3
पर		UNK		UNK
भी		UNK		UNK
जाएँगे		3h		3
।		UNK		UNK
लगभग		UNK		UNK
एक		UNK		UNK
साल		3		3
पूर्व		3		UNK
भाजपा		3		3
के		UNK		UNK
वरिष्ठ		UNK		UNK
नेता		3		3
एल.		3		3
के.		3		3
आडवाणी		3		3
द्वारा		UNK		UNK
जिन्ना		3		3
की		UNK		UNK
मज़ार		3		3
पर		UNK		UNK
दिए		any		any
बयान		3		3
से		UNK		UNK
भाजपा		3		3
में		UNK		UNK
तूफान		3		3
उठ		any		any
गया		any		any
था		any		any
।		UNK		UNK
अंततः		UNK		UNK
पार्टी		3		3
के		UNK		UNK
अध्यक्ष		3		3
पद		3		3
से		UNK		UNK
आडवाणी		3		3
को		UNK		UNK
इस्तीफा		3		3
देने		any		any
पर		UNK		UNK
मजबूर		UNK		UNK
होना		any		any
पड़ा		any		any
।		UNK		UNK
यहाँ		UNK		UNK
संवाददाताओं		3		3
से		UNK		UNK
सिंह		3		3
ने		UNK		UNK
कहा		any		any
कि		UNK		UNK
वे		3h		3
बलूचिस्तान		3		3
में		UNK		UNK
स्थित		UNK		UNK
हिंगलाज		3		3
माता		3		3
के		UNK		UNK
शक्तिपीठ		3		3
का		UNK		UNK
दर्शन		3		3
करेंगे		3h		3
।		UNK		UNK
३०		3		3
जनवरी		3		3
को		UNK		UNK
शुरू		3		3
होकर		any		any
उनकी		3h		3h
यात्रा		3		3
एक		UNK		UNK
हफ्ते		3		3
में		UNK		UNK
समाप्त		UNK		UNK
होगी		3		3
।		UNK		UNK
इस		3		3
दौरान		3		3
वे		3h		3h
शहबाज		3		3
कलंदर		3		3
की		UNK		UNK
दरगाह		3		3
पर		UNK		UNK
भी		UNK		UNK
जाएँगे		3h		3
और		UNK		UNK
जागीर		3		3
व		UNK		UNK
उमरकोट		3		3
में		UNK		UNK
अपने		any		any
संबंधियों		3		3
से		UNK		UNK
मिलेंगे		3h		3
।		UNK		UNK
यात्रा		3		3
में		UNK		UNK
तक़रीबन		UNK		UNK
१००		UNK		UNK
श्रद्धालु		3		3
उनके		3h		3h
साथ		3		3
होंगे		3		3
।		UNK		UNK
उन्होंने		3h		3h
कहा		any		any
कि		UNK		UNK
पाकिस्तान		3		3
के		UNK		UNK
राष्ट्रपति		3		3
परवेज़		3		3
मुशर्रफ		3		3
के		UNK		UNK
सहयोग		3		3
से		UNK		UNK
मेरी		1		1
यात्रा		3		3
संभव		UNK		UNK
हुई		3		3
है		3		3
।		UNK		UNK
उन्होंने		3h		3h
व्यक्तिगत		UNK		UNK
रुचि		3		3
लेकर		any		any
मेरी		1		1
यात्रा		3		3
की		UNK		UNK
अड़चनें		3		3
दूर		3		3
करने		any		any
का		UNK		UNK
प्रयास		3		3
किया		any		any
।		UNK		UNK
उन्होंने		3h		3h
कहा		any		any
कि		UNK		UNK
वह		3		3
क़ायदेआज़म		3		3
मुहम्मद		3		3
अली		3		3
जिन्ना		3		3
की		UNK		UNK
मज़ार		3		3
पर		UNK		UNK
भी		UNK		UNK
जाएंगे		3h		3
।		UNK		UNK
उन्होंने		3h		3h
बताया		any		any
कि		UNK		UNK
पाकिस्तान		3		3
का		UNK		UNK
मेहमान		3		3
होने		any		any
के		UNK		UNK
नाते		UNK		UNK
वे		3h		3
मज़ार		3		3
के		UNK		UNK
दर्शन		3		3
के		UNK		UNK
मेज़बान		3		3
के		UNK		UNK
सुझाव		3		3
की		UNK		UNK
अवहेलना		3		3
नहीं		UNK		UNK
कर		3h		any
सकते		3h		any
।		UNK		UNK
सिंह		3		3
ने		UNK		UNK
कहा		any		any
कि		UNK		UNK
उन्होंने		3h		3h
अपनी		any		any
यात्रा		3		3
की		UNK		UNK
जानकारी		3		3
पार्टी		3		3
नेताओं		3		3
को		UNK		UNK
दे		3		3
दी		any		any
है		3		3
।		UNK		UNK
लिहाज़ा		UNK		UNK
इस		3		3
यात्रा		3		3
के		UNK		UNK
लिए		UNK		UNK
पार्टी		3		3
में		UNK		UNK
किसी		3		3
तरह		3		3
का		UNK		UNK
कोई		3		3
विवाद		3		3
नहीं		UNK		UNK
है		3		3
।		UNK		UNK
यह		3		3
एक		UNK		UNK
धार्मिक		UNK		UNK
यात्रा		3		3
है		3		3
।		UNK		UNK
बलूचिस्तान		3		3
पर		UNK		UNK
हाल		3		3
ही		UNK		UNK
में		UNK		UNK
अमेरिका		3		3
द्वारा		UNK		UNK
की		any		any
गई		any		any
टिथी		3		3
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
सिंह		3		3
ने		UNK		UNK
कहा		any		any
कि		UNK		UNK
वह		3		3
पाकिस्तान		3		3
सरकार		3		3
और		UNK		UNK
बलूचिस्तान		3		3
की		UNK		UNK
राजनीति		3		3
में		UNK		UNK
दखल		3		3
नहीं		UNK		UNK
देंगे		3h		3
।		UNK		UNK
यह		3		3
पाकिस्तान		3		3
का		UNK		UNK
निजी		UNK		UNK
मसला		3		3
है		3		3
।		UNK		UNK
जिन्ना		3		3
पर		UNK		UNK
प्रस्तावित		UNK		UNK
पुस्तक		3		3
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
उन्होंने		3h		3h
कहा		any		any
कि		UNK		UNK
यह		3		3
राजनीतिक		UNK		UNK
जीवनी		3		3
होगी		3		3
।		UNK		UNK
उन्होंने		3h		3h
कहा		any		any
कि		UNK		UNK
इस		3		3
संबंध		3		3
में		UNK		UNK
शोध		3		3
जारी		UNK		UNK
है		3		3
और		UNK		UNK
तीर्थ		3		3
-		UNK		UNK
यात्रा		3		3
से		UNK		UNK
लौटने		3		3
के		UNK		UNK
बाद		3		3
मैं		1		1
पुस्तक		3		3
लिखना		any		any
शुरू		3		3
करूँगा		1		3
।		UNK		UNK
उन्होंने		3h		3h
कहा		any		any
कि		UNK		UNK
मैं		1		1
इतिहासकार		3		3
नहीं		UNK		UNK
हूँ		1		1
,		UNK		UNK
बल्कि		UNK		UNK
मौजूदा		UNK		UNK
राजनीति		3		3
का		UNK		UNK
छात्र		3		3
हूँ		1		1
।		UNK		UNK
पिछले		UNK		UNK
१४		3		3
जून		3		3
को		UNK		UNK
अगवा		UNK		any
किए		any		any
गए		any		any
छह		UNK		UNK
छोटे		UNK		UNK
व्यापारियों		3		3
की		UNK		UNK
आतंकियों		3		3
ने		UNK		UNK
बांग्लादेश		3		3
में		UNK		UNK
हत्या		3		3
कर		any		any
दी		any		any
।		UNK		UNK
यह		3		3
जानकारी		3		3
सोमवार		3		3
को		UNK		UNK
पुलिस		3		3
ने		UNK		UNK
दी		any		any
।		UNK		UNK
पुलिस		3		3
सूत्रों		3		3
ने		UNK		UNK
बताया		any		any
कि		UNK		UNK
२६		3		3
जुलाई		3		3
को		UNK		UNK
आतंकियों		3		3
द्वारा		UNK		UNK
मुक्त		UNK		UNK
किए		any		any
गए		any		any
अन्य		UNK		UNK
बंधकों		3		3
ने		UNK		UNK
उन्हें		3h		3h
यह		3		3
जानकारी		3		3
दी		any		any
।		UNK		UNK
जिला		3		3
मजिस्ट्रेट		3		3
ने		UNK		UNK
बताया		any		any
कि		UNK		UNK
रिहा		UNK		UNK
किए		any		any
गए		any		any
व्यापारियों		3		3
का		UNK		UNK
उत्तरी		UNK		UNK
त्रिपुरा		3		3
के		UNK		UNK
सरकारी		UNK		UNK
अस्पताल		3		3
में		UNK		UNK
इलाज		3		3
कराया		3		3
जा		any		any
रहा		any		any
है		3		3
।		UNK		UNK
पुलिस		3		3
ने		UNK		UNK
बताया		any		any
कि		UNK		UNK
आतंकियों		3		3
ने		UNK		UNK
२४		UNK		UNK
लोगों		3		3
का		UNK		UNK
अपहरण		3		3
किया		any		any
था		any		any
,		UNK		UNK
जिसमें		3		3
से		UNK		UNK
छह		UNK		3
की		UNK		UNK
बांग्लादेश		3		3
के		UNK		UNK
दक्षिण		3		3
पूर्व		3		3
में		UNK		UNK
स्थित		UNK		UNK
चिटगाँव		3		3
पहाड़ियों		3		3
में		UNK		UNK
हत्या		3		3
कर		any		any
दी		any		any
गई		any		any
।		UNK		UNK
प्रतिबंधित		UNK		UNK
आदिवासी		UNK		UNK
गुरिल्लाओं		3		3
ने		UNK		UNK
२४		UNK		3
में		UNK		UNK
१८		UNK		UNK
व्यापारियों		3		3
को		UNK		UNK
हाल		3		3
में		UNK		UNK
मुक्त		UNK		UNK
कर		any		any
दिया		any		any
था		any		any
।		UNK		UNK
इनको		3		3
१४		3		3
जून		3		3
को		UNK		UNK
उत्तरी		UNK		UNK
त्रिपुरा		3		3
से		UNK		UNK
अगवा		UNK		3
किया		any		any
गया		any		any
था		any		any
।		UNK		UNK
अतिरिक्त		UNK		UNK
संसाधन		3		3
जुटाने		any		any
की		UNK		UNK
आवश्यकता		3		3
और		UNK		UNK
चार		UNK		UNK
करोड़		UNK		UNK
लाभार्थियों		3		3
को		UNK		UNK
उनके		3		3h
निवेश		3		3
का		UNK		UNK
बेहतर		UNK		UNK
रिटर्न		3		3
देने		any		any
के		UNK		UNK
लिए		UNK		UNK
कर्मचारी		3		3
भविष्य		3		3
निधि		3		3
संगठन		3		3
(		UNK		UNK
ईपीएफओ		3		3
)		UNK		UNK
के		UNK		UNK
बोर्ड		3		3
ने		UNK		UNK
सोमवार		3		3
को		UNK		UNK
अंतर्राष्ट्रीय		UNK		UNK
सलाहकार		3		3
फर्म		3		3
मर्सर		3		3
को		UNK		UNK
नियुक्त		UNK		UNK
किया		3		3
है		3		3
।		UNK		UNK
यह		3		3
फर्म		3		3
बहुत		UNK		UNK
आकर्षक		UNK		UNK
निवेश		3		3
रणनीति		3		3
बनाने		any		any
में		UNK		UNK
ईपीएफओ		3		3
की		UNK		UNK
मदद		3		3
करेगी		3		3
।		UNK		UNK
नियुक्ति		3		3
के		UNK		UNK
चार		UNK		UNK
माह		3		3
के		UNK		UNK
भीतर		3		3
मर्सर		3		3
को		UNK		UNK
अपनी		any		any
रिपोर्ट		3		3
देनी		3		3
है		3		3
और		UNK		UNK
इसे		3		3
सिर्फ		UNK		UNK
एक		UNK		UNK
ही		UNK		UNK
बार		3		3
में		UNK		UNK
३४		UNK		UNK
लाख		UNK		UNK
फीस		3		3
दी		3		3
जाएगी		3		3
।		UNK		UNK
सीबीटी		3		3
के		UNK		UNK
इस		3		3
फैसले		3		3
का		UNK		UNK
ज्यादातर		UNK		UNK
श्रमिक		3		UNK
संगठनों		3		3
ने		UNK		UNK
विरोध		3		3
किया		any		any
।		UNK		UNK
श्रमिक		3		UNK
संगठनों		3		3
का		UNK		UNK
कहना		any		any
था		any		any
कि		UNK		UNK
यह		3		3
फैसला		3		3
तो		UNK		UNK
वित्त		3		3
मंत्रालय		3		3
पर		UNK		UNK
छोड़		any		any
देना		any		any
चाहिए		any		any
जो		3		3
ईपीएफ		3		3
निवेश		3		3
की		UNK		UNK
मंजूरी		3		3
देता		3		3
है		3		3
।		UNK		UNK
श्रम		3		3
मंत्री		3		3
के.		3		3
चंद्रशेखर		3		3
राव		3		3
ने		UNK		UNK
सोमवार		3		3
को		UNK		UNK
पत्रकारों		3		3
को		UNK		UNK
बताया		any		any
कि		UNK		UNK
हमने		1		1
मर्सर		3		3
मानव		3		3
संसाधन		3		3
सलाहकार		3		3
को		UNK		UNK
निवेश		3		3
पैटर्न		3		3
बेहतर		UNK		UNK
बनाने		any		any
के		UNK		UNK
संबंध		UNK		UNK
में		UNK		UNK
सुझाव		3		3
देने		any		any
को		UNK		UNK
कहा		3		3
है		3		3
।		UNK		UNK
यह		3		3
पूछे		any		any
जाने		any		any
पर		UNK		UNK
कि		UNK		UNK
ईपीएफ		3		3
ब्याज		3		3
दर		3		3
९.५		UNK		UNK
फीसदी		3		3
करने		3		3
के		UNK		UNK
बाद		3		3
९२७		UNK		UNK
करोड़		UNK		UNK
के		UNK		UNK
घाटे		3		3
को		UNK		UNK
सरकार		3		3
किस		3		UNK
तरह		3		3
पूरा		UNK		UNK
करेगी		3		3
राव		3		3
ने		UNK		UNK
कहा		any		any
,		UNK		UNK
सरकार		3		3
इस		3		3
पैसे		3		3
का		UNK		UNK
इंतजाम		3		3
करेगी		3		3
।		UNK		UNK
लोगों		3		3
को		UNK		UNK
अब		UNK		UNK
इस		3		3
बारे		UNK		UNK
में		UNK		UNK
चिंता		3		3
छोड़		any		any
देनी		any		any
चाहिए		any		any
।		UNK		UNK
उन्होंने		3h		3h
बार		UNK		3
-		UNK		UNK
बार		UNK		3
पूछे		any		any
जाने		any		any
के		UNK		UNK
बावजूद		UNK		UNK
इन		3		3
सवालों		3		3
को		UNK		UNK
टाल		any		any
दिया		any		any
कि		UNK		UNK
इससे		3		3
उबरने		any		any
के		UNK		UNK
लिए		UNK		UNK
क्या		UNK		UNK
ईपीएफओ		3		3
वित्त		3		3
मंत्रालय		3		3
के		UNK		UNK
पास		3		3
जाएगा		3		3
या		UNK		UNK
फिर		UNK		UNK
मार्च		3		3
में		UNK		UNK
होने		any		any
वाली		UNK		UNK
सीबीटी		3		3
बैठक		3		3
में		UNK		UNK
अतिरिक्त		UNK		UNK
संसाधन		3		3
जुटाने		any		any
के		UNK		UNK
मुद्दे		3		3
पर		UNK		UNK
विचार		3		3
होगा		3		3
।		UNK		UNK
क्योंकि		UNK		UNK
अभी		UNK		UNK
चुनाव		3		3
आचार		3		3
संहिता		3		3
लागू		UNK		UNK
होने		any		any
के		UNK		UNK
कारण		UNK		UNK
इस		3		3
संबंध		3		3
में		UNK		UNK
कोई		3		3
घोषणा		3		3
नहीं		UNK		UNK
हो		any		any
सकती		any		any
।		UNK		UNK
श्रम		3		3
मंत्री		3		3
राव		3		3
ने		UNK		UNK
बताया		any		any
कि		UNK		UNK
मर्सर		3		3
की		UNK		UNK
रिपोर्ट		3		3
पर		UNK		UNK
सीबीटी		3		3
निवेश		3		3
पैटर्न		3		3
को		UNK		UNK
पुनर्गठित		UNK		UNK
करने		any		any
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
अपना		any		any
निर्णय		3		3
लेगा		3		3
।		UNK		UNK
इसमें		3		3
इक्विटी		3		3
,		UNK		UNK
डाकघर		3		3
में		UNK		UNK
जमा		3		3
और		UNK		UNK
एनएससी		3		3
में		UNK		UNK
निवेश		3		3
शामिल		UNK		UNK
हैं		3		3
।		UNK		UNK
सूत्रों		3		3
ने		UNK		UNK
बताया		any		any
कि		UNK		UNK
अतिरिक्त		UNK		UNK
संसाधन		3		3
जुटाने		any		any
के		UNK		UNK
प्रयासों		3		3
के		UNK		UNK
तहत		UNK		UNK
ही		UNK		UNK
पीएफ		3		3
जमा		UNK		UNK
न		UNK		UNK
कराने		any		any
वाली		UNK		UNK
संस्थाओं		3		3
से		UNK		UNK
एरियर		3		UNK
वसूलने		any		any
के		UNK		UNK
लिए		UNK		UNK
बाकायदा		UNK		UNK
विशेष		UNK		UNK
अभियान		3		3
छेड़ा		3		3
जाएगा		3		3
।		UNK		UNK
सीबीटी		3		3
बैठक		3		3
में		UNK		UNK
कर्मचारी		3		3
पेंशन		3		3
योजना		3		3
की		UNK		UNK
मूल्यांकन		3		3
रिपोर्ट		3		3
पर		UNK		UNK
विचार		3		3
किया		any		any
गया		any		any
।		UNK		UNK
बताया		3		3
जाता		any		any
है		3		3
कि		UNK		UNK
रिपोर्ट		3		3
में		UNK		UNK
घाटा		3		3
दिखाया		3		3
गया		any		any
है		3		3
।		UNK		UNK
इसका		3		3
कारण		3		3
बताते		any		any
हुए		any		any
कहा		3		3
गया		any		any
है		3		3
कि		UNK		UNK
ब्याज		3		3
दरों		3		3
में		UNK		UNK
बढ़ोतरी		3		3
और		UNK		UNK
न्यूनतम		UNK		UNK
वेतन		3		3
की		UNK		UNK
सीमा		3		3
५०००		UNK		UNK
से		UNK		UNK
६५००		UNK		UNK
किए		any		any
जाने		any		any
के		UNK		UNK
कारण		UNK		UNK
यह		3		3
घाटा		3		3
हुआ		3		any
है		3		3
।		UNK		UNK
प्रधानमंत्री		3		3
पद		3		3
संभालने		3		3
के		UNK		UNK
बाद		3		3
डॉ.		3		3
मनमोहन		3		3
सिंह		3		3
अपनी		any		any
राजनीतिक		UNK		UNK
यात्रा		3		3
का		UNK		UNK
सिलसिला		3		3
आंध्र		3		3
प्रदेश		3		3
से		UNK		UNK
शुरू		3		3
करेंगे		3h		3
।		UNK		UNK
वह		3		3
अगले		UNK		UNK
कुछ		UNK		UNK
दिनों		3		3
में		UNK		UNK
ही		UNK		UNK
आंध्र		3		3
प्रदेश		3		3
की		UNK		UNK
यात्रा		3		3
पर		UNK		UNK
जाने		any		any
की		UNK		UNK
तैयारी		3		3
में		UNK		UNK
हैं		3h		3
।		UNK		UNK
आंध्र		3		3
के		UNK		UNK
सूखा		UNK		3
-		UNK		UNK
ग्रस्त		UNK		UNK
इलाके		3		3
उनकी		3h		3h
इस		3		3
यात्रा		3		3
में		UNK		UNK
अहम्		UNK		UNK
होंगे		3		3
।		UNK		UNK
जिनमें		3		3
रायलसीमा		3		3
,		UNK		UNK
तेलंगाना		3		3
और		UNK		UNK
