Word		Original_feature		Predicted_feature
के		UNK		UNK
दौरान		m		m
तिलहन		m		m
का		m		m
उत्पादन		m		m
पिछले		m		m
साल		m		m
की		f		f
तुलना		f		f
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		m		m
।		UNK		UNK
उद्योग		m		m
के		UNK		UNK
मुताबिक		UNK		UNK
इस		any		any
साल		m		m
तिलहन		m		f
उत्पादन		m		m
करीब		UNK		UNK
130.4		any		any
लाख		any		any
टन		m		m
होगा		m		m
।		UNK		UNK
जो		any		any
पिछले		m		m
साल		m		m
के		m		m
उत्पादन		m		m
में		UNK		UNK
करीब		UNK		UNK
6.8		any		any
लाख		any		any
टन		m		m
ज्यादा		UNK		UNK
है		any		any
।		UNK		UNK
पिछले		m		m
साल		m		m
तिलहन		m		m
का		m		m
उत्पादन		m		m
123		any		any
लाख		any		any
टन		m		m
हुआ		m		m
था		m		m
।		UNK		UNK
उद्योग		m		m
का		m		m
अनुमान		m		m
है		any		any
कि		UNK		UNK
इस		any		any
साल		m		m
मूँगफली		f		f
का		m		m
उत्पादन		m		m
56.5		any		any
लाख		any		any
टन		m		m
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		f		m
का		m		m
उत्पादन		m		m
53.6		any		any
लाख		any		any
टन		m		m
होगा		m		m
।		UNK		UNK
जबकि		UNK		UNK
पिछले		m		m
साल		m		m
मूँगफली		f		f
का		m		m
उत्पादन		m		m
44.5		any		any
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		f		m
का		m		m
उत्पादन		m		m
58.5		any		any
लाख		any		any
टन		m		m
हुआ		m		m
था		m		m
।		UNK		UNK
कृषि		f		f
मंत्रालय		m		m
उद्योग		m		m
जगत		m		m
के		m		m
इन		any		any
आँकड़ों		m		m
से		UNK		UNK
इत्तेफाक		m		m
नहीं		UNK		UNK
रखता		m		m
है		any		any
और		UNK		UNK
उसके		any		any
मुताबिक		UNK		UNK
इस		any		any
साल		m		m
तिहलन		m		m
उत्पादन		m		m
में		UNK		UNK
करीब		UNK		UNK
2.5		any		any
फीसदी		f		f
की		f		f
कमी		f		f
आ		f		f
सकती		f		f
है		any		any
।		UNK		UNK
इस		any		any
साल		m		m
महाराष्ट्र		m		m
और		UNK		UNK
गुजरात		m		m
में		UNK		UNK
ज्यादा		UNK		UNK
बारिश		f		f
का		m		m
असर		m		m
तिलहन		m		m
उत्पादन		m		m
पर		UNK		UNK
पड़ा		m		m
है		any		any
।		UNK		UNK
पिछले		m		m
साल		m		m
149.4		any		UNK
लाख		any		any
टन		m		m
तिलहन		m		m
का		m		m
उत्पादन		m		m
हुआ		m		m
था		m		m
।		UNK		UNK
मंत्रालय		m		m
का		m		m
कहना		any		any
है		any		any
कि		UNK		UNK
इस		any		any
साल		m		m
मूँगफली		f		f
का		m		m
उत्पादन		m		m
59.4		any		UNK
लाख		any		any
टन		m		m
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		f		m
का		m		m
65.8		any		any
लाख		any		any
टन		m		m
होने		any		any
की		f		f
संभावना		f		f
है		any		any
।		UNK		UNK
बैजोरिया		m		f
का		m		m
कहना		any		any
है		any		any
कि		UNK		UNK
इन		any		any
आँकड़ों		m		m
में		UNK		UNK
अंतर		m		m
का		m		m
असर		m		m
तिलहन		m		m
की		f		f
कीमतों		f		f
पर		UNK		UNK
नहीं		UNK		UNK
पड़ता		m		m
है		any		any
।		UNK		UNK
उनका		m		m
कहना		any		any
है		any		any
कि		UNK		UNK
उनके		m		any
पास		m		m
ये		any		any
आँकड़ें		m		m
स्थानीय		any		any
स्तर		m		m
पर		UNK		UNK
आते		m		m
हैं		any		any
जो		any		any
पूरी		f		f
तरह		f		f
से		UNK		UNK
सही		any		any
होते		m		m
हैं		any		any
।		UNK		UNK
पाकिस्तान		m		m
क्रिकेट		m		m
बोर्ड		m		m
(		UNK		UNK
पीसीबी		m		m
)		UNK		UNK
ने		UNK		UNK
भारत		m		m
-		UNK		UNK
पाकिस्तान		m		m
क्रिकेट		m		m
मैच		m		m
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
कांग्रेस		f		f
सांसद		m		m
राहुल		m		m
गांधी		any		any
और		UNK		UNK
उनकी		f		f
बहन		f		f
प्रियंका		f		f
वाड्रा		any		m
को		UNK		UNK
निमंत्रण		m		m
भेजा		m		m
है		any		any
।		UNK		UNK
मीडिया		f		m
रिपोर्टों		f		f
के		UNK		UNK
मुताबिक		UNK		UNK
भारत		m		m
के		UNK		UNK
खिलाफ		UNK		UNK
जारी		any		any
क्रिकेट		m		m
श्रृंखला		f		f
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
बोर्ड		m		m
द्वारा		UNK		UNK
कांग्रेस		f		f
अध्यक्ष		any		f
सोनिया		f		f
गांधी		any		any
को		UNK		UNK
भी		UNK		UNK
निमंत्रण		m		m
भेजा		m		m
जा		any		any
सकता		m		m
है		any		any
।		UNK		UNK
पीसीबी		m		f
निदेशक		m		m
(		UNK		UNK
बोर्ड		m		m
ऑपरेशंस		m		m
)		UNK		UNK
अब्बास		m		m
जैदी		m		m
के		m		m
हवाले		m		m
से		UNK		UNK
एक		any		any
लोकल		any		any
टीवी		m		m
चैनल		m		m
ने		UNK		UNK
बताया		m		m
है		any		any
कि		UNK		UNK
बोर्ड		m		m
के		m		m
चेयरमैन		m		m
शहरयार		m		m
खान		m		m
ने		UNK		UNK
पाकिस्तान		m		m
में		UNK		UNK
जारी		any		any
क्रिकेट		m		m
मैचों		m		m
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
राहुल		m		m
व		UNK		UNK
प्रियंका		f		f
को		UNK		UNK
निमंत्रण		m		m
भेजा		m		m
है		any		any
।		UNK		UNK
'		UNK		UNK
दी		m		f
न्यूज		f		m
'		UNK		UNK
के		UNK		UNK
मुताबिक		UNK		UNK
बोर्ड		m		m
द्वारा		UNK		UNK
सोनिया		f		f
को		UNK		UNK
भी		UNK		UNK
निमंत्रण		m		m
भेजे		any		m
जाने		any		any
की		f		f
संभावना		f		f
है		any		any
।		UNK		UNK
उपर्युक्त		any		any
लोगों		m		m
के		UNK		UNK
अलावा		UNK		UNK
कराची		m		f
में		UNK		UNK
होने		any		any
वाले		m		m
तीसरे		m		m
टेस्ट		m		m
व		UNK		UNK
उसके		any		any
बाद		m		m
पांच		any		any
एक		any		any
दिवसीय		any		any
मैचों		m		m
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
कुछ		UNK		UNK
पूर्व		any		any
टेस्ट		m		m
खिलाड़ियों		m		f
को		UNK		UNK
भी		UNK		UNK
आमंत्रित		any		any
किया		m		m
गया		m		m
है		any		any
।		UNK		UNK
राज्यसभा		f		f
में		UNK		UNK
विपक्ष		m		m
के		m		m
नेता		m		m
जसवंत		m		m
सिंह		m		m
ने		UNK		UNK
शनिवार		m		m
को		UNK		UNK
तीर्थ		m		m
-		UNK		UNK
यात्रा		f		f
पर		UNK		UNK
पाकिस्तान		m		m
जाने		any		any
की		f		f
घोषणा		f		f
की		f		f
।		UNK		UNK
यात्रा		f		f
के		UNK		UNK
दौरान		m		m
वे		any		any
मोहम्मद		m		m
अली		m		m
जिन्ना		m		f
की		f		f
मज़ार		f		f
पर		UNK		UNK
भी		UNK		UNK
जाएँगे		m		m
।		UNK		UNK
लगभग		UNK		UNK
एक		any		any
साल		m		m
पूर्व		m		any
भाजपा		f		f
के		m		m
वरिष्ठ		any		any
नेता		m		m
एल.		m		m
के.		m		m
आडवाणी		any		any
द्वारा		UNK		UNK
जिन्ना		m		f
की		f		f
मज़ार		f		f
पर		UNK		UNK
दिए		m		m
बयान		m		m
से		UNK		UNK
भाजपा		f		f
में		UNK		UNK
तूफान		m		m
उठ		m		m
गया		m		m
था		m		m
।		UNK		UNK
अंततः		UNK		UNK
पार्टी		f		f
के		m		m
अध्यक्ष		m		m
पद		m		m
से		UNK		UNK
आडवाणी		any		any
को		UNK		UNK
इस्तीफा		m		m
देने		any		any
पर		UNK		UNK
मजबूर		any		any
होना		m		m
पड़ा		m		m
।		UNK		UNK
यहाँ		UNK		UNK
संवाददाताओं		m		m
से		UNK		UNK
सिंह		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		UNK
वे		any		any
बलूचिस्तान		m		m
में		UNK		UNK
स्थित		any		any
हिंगलाज		f		m
माता		f		m
के		m		m
शक्तिपीठ		f		f
का		m		m
दर्शन		m		m
करेंगे		m		m
।		UNK		UNK
३०		any		any
जनवरी		f		f
को		UNK		UNK
शुरू		m		m
होकर		any		any
उनकी		f		f
यात्रा		f		f
एक		any		any
हफ्ते		m		m
में		UNK		UNK
समाप्त		any		any
होगी		f		f
।		UNK		UNK
इस		any		any
दौरान		m		m
वे		any		any
शहबाज		m		m
कलंदर		m		m
की		f		f
दरगाह		f		f
पर		UNK		UNK
भी		UNK		UNK
जाएँगे		m		m
और		UNK		UNK
जागीर		m		m
व		UNK		UNK
उमरकोट		m		m
में		UNK		UNK
अपने		m		m
संबंधियों		m		f
से		UNK		UNK
मिलेंगे		m		m
।		UNK		UNK
यात्रा		f		f
में		UNK		UNK
तक़रीबन		UNK		UNK
१००		any		any
श्रद्धालु		m		m
उनके		m		any
साथ		m		m
होंगे		m		m
।		UNK		UNK
उन्होंने		any		any
कहा		m		m
कि		UNK		UNK
पाकिस्तान		m		m
के		m		m
राष्ट्रपति		m		m
परवेज़		m		m
मुशर्रफ		m		m
के		m		m
सहयोग		m		m
से		UNK		UNK
मेरी		f		f
यात्रा		f		f
संभव		any		any
हुई		f		f
है		any		any
।		UNK		UNK
उन्होंने		any		any
व्यक्तिगत		any		any
रुचि		f		f
लेकर		any		any
मेरी		f		f
यात्रा		f		f
की		f		f
अड़चनें		f		f
दूर		m		m
करने		any		any
का		m		m
प्रयास		m		m
किया		m		m
।		UNK		UNK
उन्होंने		any		any
कहा		m		m
कि		UNK		UNK
वह		any		any
क़ायदेआज़म		m		m
मुहम्मद		m		m
अली		m		m
जिन्ना		m		f
की		f		f
मज़ार		f		f
पर		UNK		UNK
भी		UNK		UNK
जाएंगे		m		m
।		UNK		UNK
उन्होंने		any		any
बताया		m		m
कि		UNK		UNK
पाकिस्तान		m		m
का		m		m
मेहमान		m		m
होने		m		any
के		m		UNK
नाते		m		m
वे		any		any
मज़ार		f		m
के		m		m
दर्शन		m		m
के		m		m
मेज़बान		m		m
के		m		m
सुझाव		m		m
की		f		f
अवहेलना		f		f
नहीं		UNK		UNK
कर		any		any
सकते		m		m
।		UNK		UNK
सिंह		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		UNK
उन्होंने		any		any
अपनी		f		f
यात्रा		f		f
की		f		f
जानकारी		f		f
पार्टी		f		f
नेताओं		m		m
को		UNK		UNK
दे		f		f
दी		f		f
है		any		any
।		UNK		UNK
लिहाज़ा		UNK		UNK
इस		any		any
यात्रा		f		f
के		UNK		UNK
लिए		UNK		UNK
पार्टी		f		f
में		UNK		UNK
किसी		any		any
तरह		f		f
का		m		m
कोई		any		any
विवाद		m		m
नहीं		UNK		UNK
है		any		any
।		UNK		UNK
यह		any		any
एक		any		any
धार्मिक		any		any
यात्रा		f		f
है		any		any
।		UNK		UNK
बलूचिस्तान		m		m
पर		UNK		UNK
हाल		m		m
ही		UNK		UNK
में		UNK		UNK
अमेरिका		m		m
द्वारा		UNK		UNK
की		f		f
गई		f		f
टिथी		f		f
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
सिंह		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		UNK
वह		any		any
पाकिस्तान		m		m
सरकार		f		f
और		UNK		UNK
बलूचिस्तान		m		m
की		f		f
राजनीति		f		f
में		UNK		UNK
दखल		m		any
नहीं		UNK		UNK
देंगे		m		m
।		UNK		UNK
यह		any		any
पाकिस्तान		m		m
का		m		m
निजी		any		any
मसला		m		m
है		any		any
।		UNK		UNK
जिन्ना		m		f
पर		UNK		UNK
प्रस्तावित		any		any
पुस्तक		f		m
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
उन्होंने		any		any
कहा		m		m
कि		UNK		UNK
यह		any		any
राजनीतिक		any		any
जीवनी		f		f
होगी		f		f
।		UNK		UNK
उन्होंने		any		any
कहा		m		m
कि		UNK		UNK
इस		any		any
संबंध		m		m
में		UNK		UNK
शोध		m		m
जारी		any		any
है		any		any
और		UNK		UNK
तीर्थ		m		m
-		UNK		UNK
यात्रा		f		f
से		UNK		UNK
लौटने		any		any
के		UNK		UNK
बाद		m		m
मैं		any		any
पुस्तक		f		m
लिखना		any		any
शुरू		m		m
करूँगा		m		m
।		UNK		UNK
उन्होंने		any		any
कहा		m		m
कि		UNK		UNK
मैं		any		any
इतिहासकार		m		m
नहीं		UNK		UNK
हूँ		any		any
,		UNK		UNK
बल्कि		UNK		UNK
मौजूदा		any		any
राजनीति		f		f
का		m		m
छात्र		m		m
हूँ		any		any
।		UNK		UNK
पिछले		m		m
१४		any		any
जून		m		m
को		UNK		UNK
अगवा		any		m
किए		m		m
गए		m		m
छह		any		any
छोटे		m		m
व्यापारियों		m		m
की		f		f
आतंकियों		m		f
ने		UNK		UNK
बांग्लादेश		m		m
में		UNK		UNK
हत्या		f		f
कर		m		any
दी		f		f
।		UNK		UNK
यह		any		any
जानकारी		f		f
सोमवार		m		m
को		UNK		UNK
पुलिस		f		f
ने		UNK		UNK
दी		f		f
।		UNK		UNK
पुलिस		f		f
सूत्रों		m		m
ने		UNK		UNK
बताया		m		m
कि		UNK		UNK
२६		any		any
जुलाई		f		f
को		UNK		UNK
आतंकियों		m		m
द्वारा		UNK		UNK
मुक्त		any		any
किए		m		m
गए		m		m
अन्य		any		any
बंधकों		m		m
ने		UNK		UNK
उन्हें		any		any
यह		any		any
जानकारी		f		f
दी		f		f
।		UNK		UNK
जिला		m		m
मजिस्ट्रेट		m		m
ने		UNK		UNK
बताया		m		m
कि		UNK		UNK
रिहा		any		any
किए		m		m
गए		m		m
व्यापारियों		m		m
का		m		m
उत्तरी		any		any
त्रिपुरा		m		m
के		m		m
सरकारी		any		any
अस्पताल		m		m
में		UNK		UNK
इलाज		m		m
कराया		m		m
जा		any		any
रहा		m		m
है		any		any
।		UNK		UNK
पुलिस		f		f
ने		UNK		UNK
बताया		m		m
कि		UNK		UNK
आतंकियों		m		m
ने		UNK		UNK
२४		any		any
लोगों		m		m
का		m		m
अपहरण		m		m
किया		m		m
था		m		m
,		UNK		UNK
जिसमें		any		any
से		UNK		UNK
छह		any		any
की		f		f
बांग्लादेश		m		m
के		m		m
दक्षिण		m		m
पूर्व		m		m
में		UNK		UNK
स्थित		any		any
चिटगाँव		m		m
पहाड़ियों		f		f
में		UNK		UNK
हत्या		f		f
कर		f		f
दी		f		f
गई		f		f
।		UNK		UNK
प्रतिबंधित		any		any
आदिवासी		any		any
गुरिल्लाओं		m		f
ने		UNK		UNK
२४		any		any
में		UNK		UNK
१८		any		any
व्यापारियों		m		m
को		UNK		UNK
हाल		m		m
में		UNK		UNK
मुक्त		any		any
कर		m		m
दिया		m		m
था		m		m
।		UNK		UNK
इनको		any		any
१४		any		any
जून		m		m
को		UNK		UNK
उत्तरी		any		any
त्रिपुरा		m		m
से		UNK		UNK
अगवा		any		m
किया		m		m
गया		m		m
था		m		m
।		UNK		UNK
अतिरिक्त		any		any
संसाधन		m		m
जुटाने		any		any
की		f		f
आवश्यकता		f		f
और		UNK		UNK
चार		any		any
करोड़		any		any
लाभार्थियों		m		m
को		UNK		UNK
उनके		m		m
निवेश		m		m
का		m		m
बेहतर		any		any
रिटर्न		m		m
देने		any		any
के		UNK		UNK
लिए		UNK		UNK
कर्मचारी		m		m
भविष्य		m		m
निधि		f		f
संगठन		m		m
(		UNK		UNK
ईपीएफओ		m		m
)		UNK		UNK
के		m		m
बोर्ड		m		m
ने		UNK		UNK
सोमवार		m		m
को		UNK		UNK
अंतर्राष्ट्रीय		any		any
सलाहकार		m		m
फर्म		f		m
मर्सर		f		m
को		UNK		UNK
नियुक्त		any		any
किया		m		m
है		any		any
।		UNK		UNK
यह		any		any
फर्म		f		m
बहुत		UNK		UNK
आकर्षक		any		any
निवेश		m		m
रणनीति		f		f
बनाने		any		any
में		UNK		UNK
ईपीएफओ		m		m
की		f		f
मदद		f		f
करेगी		f		f
।		UNK		UNK
नियुक्ति		f		f
के		m		m
चार		any		any
माह		m		m
के		UNK		UNK
भीतर		m		m
मर्सर		f		m
को		UNK		UNK
अपनी		f		f
रिपोर्ट		f		f
देनी		f		f
है		any		any
और		UNK		UNK
इसे		any		any
सिर्फ		UNK		UNK
एक		any		any
ही		UNK		UNK
बार		f		f
में		UNK		UNK
३४		any		any
लाख		any		any
फीस		f		f
दी		f		f
जाएगी		f		f
।		UNK		UNK
सीबीटी		m		m
के		m		m
इस		any		any
फैसले		m		m
का		m		m
ज्यादातर		any		any
श्रमिक		m		any
संगठनों		m		m
ने		UNK		UNK
विरोध		m		m
किया		m		m
।		UNK		UNK
श्रमिक		m		any
संगठनों		m		m
का		m		m
कहना		any		any
था		m		m
कि		UNK		UNK
यह		any		any
फैसला		m		m
तो		UNK		UNK
वित्त		m		m
मंत्रालय		m		m
पर		UNK		UNK
छोड़		m		any
देना		m		m
चाहिए		any		any
जो		any		any
ईपीएफ		m		m
निवेश		m		m
की		f		f
मंजूरी		f		f
देता		m		m
है		any		any
।		UNK		UNK
श्रम		m		m
मंत्री		m		m
के.		m		m
चंद्रशेखर		m		m
राव		any		m
ने		UNK		UNK
सोमवार		m		m
को		UNK		UNK
पत्रकारों		m		m
को		UNK		UNK
बताया		m		m
कि		UNK		UNK
हमने		any		any
मर्सर		f		m
मानव		m		m
संसाधन		m		m
सलाहकार		m		m
को		UNK		UNK
निवेश		m		m
पैटर्न		m		m
बेहतर		any		any
बनाने		m		any
के		m		m
संबंध		m		m
में		UNK		UNK
सुझाव		m		m
देने		any		any
को		UNK		UNK
कहा		m		m
है		any		any
।		UNK		UNK
यह		any		any
पूछे		any		any
जाने		any		any
पर		UNK		UNK
कि		UNK		UNK
ईपीएफ		m		m
ब्याज		m		m
दर		f		f
९.५		any		any
फीसदी		f		f
करने		any		any
के		UNK		UNK
बाद		m		m
९२७		any		any
करोड़		any		any
के		m		m
घाटे		m		m
को		UNK		UNK
सरकार		f		f
किस		any		UNK
तरह		f		f
पूरा		m		m
करेगी		f		f
राव		any		m
ने		UNK		UNK
कहा		m		m
,		UNK		UNK
सरकार		f		f
इस		any		any
पैसे		m		m
का		m		m
इंतजाम		m		m
करेगी		f		f
।		UNK		UNK
लोगों		m		m
को		UNK		UNK
अब		UNK		UNK
इस		any		any
बारे		UNK		UNK
में		UNK		UNK
चिंता		f		f
छोड़		f		any
देनी		f		f
चाहिए		any		any
।		UNK		UNK
उन्होंने		any		any
बार		UNK		f
-		UNK		UNK
बार		UNK		f
पूछे		m		any
जाने		any		any
के		UNK		UNK
बावजूद		UNK		UNK
इन		any		any
सवालों		m		m
को		UNK		UNK
टाल		any		any
दिया		m		m
कि		UNK		UNK
इससे		any		any
उबरने		any		any
के		UNK		UNK
लिए		UNK		UNK
क्या		UNK		UNK
ईपीएफओ		m		m
वित्त		m		m
मंत्रालय		m		m
के		UNK		UNK
पास		m		m
जाएगा		m		m
या		UNK		UNK
फिर		UNK		UNK
मार्च		m		m
में		UNK		UNK
होने		any		any
वाली		f		f
सीबीटी		m		m
बैठक		f		f
में		UNK		UNK
अतिरिक्त		any		any
संसाधन		m		m
जुटाने		any		any
के		m		m
मुद्दे		m		m
पर		UNK		UNK
विचार		m		m
होगा		m		m
।		UNK		UNK
क्योंकि		UNK		UNK
अभी		UNK		UNK
चुनाव		m		m
आचार		m		m
संहिता		f		f
लागू		any		any
होने		m		any
के		m		m
कारण		m		m
इस		any		any
संबंध		m		m
में		UNK		UNK
कोई		any		any
घोषणा		f		f
नहीं		UNK		UNK
हो		any		any
सकती		f		f
।		UNK		UNK
श्रम		m		m
मंत्री		m		m
राव		any		m
ने		UNK		UNK
बताया		m		m
कि		UNK		UNK
मर्सर		f		m
की		f		f
रिपोर्ट		f		f
पर		UNK		UNK
सीबीटी		m		f
निवेश		m		m
पैटर्न		m		m
को		UNK		UNK
पुनर्गठित		any		any
करने		any		any
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
अपना		m		m
निर्णय		m		m
लेगा		m		m
।		UNK		UNK
इसमें		any		any
इक्विटी		f		f
,		UNK		UNK
डाकघर		m		m
में		UNK		UNK
जमा		m		m
और		UNK		UNK
एनएससी		m		m
में		UNK		UNK
निवेश		m		m
शामिल		any		any
हैं		any		any
।		UNK		UNK
सूत्रों		m		m
ने		UNK		UNK
बताया		m		m
कि		UNK		UNK
अतिरिक्त		any		any
संसाधन		m		m
जुटाने		any		any
के		m		m
प्रयासों		m		m
के		UNK		UNK
तहत		UNK		UNK
ही		UNK		UNK
पीएफ		m		m
जमा		any		any
न		UNK		UNK
कराने		any		any
वाली		f		f
संस्थाओं		f		f
से		UNK		UNK
एरियर		m		m
वसूलने		any		any
के		UNK		UNK
लिए		UNK		UNK
बाकायदा		UNK		UNK
विशेष		any		any
अभियान		m		m
छेड़ा		m		m
जाएगा		m		m
।		UNK		UNK
सीबीटी		m		m
बैठक		f		f
में		UNK		UNK
कर्मचारी		m		f
पेंशन		f		m
योजना		f		f
की		f		f
मूल्यांकन		m		m
रिपोर्ट		f		f
पर		UNK		UNK
विचार		m		m
किया		m		m
गया		m		m
।		UNK		UNK
बताया		m		m
जाता		m		m
है		any		any
कि		UNK		UNK
रिपोर्ट		f		f
में		UNK		UNK
घाटा		m		m
दिखाया		m		m
गया		m		m
है		any		any
।		UNK		UNK
इसका		m		m
कारण		m		m
बताते		m		m
हुए		m		m
कहा		m		m
गया		m		m
है		any		any
कि		UNK		UNK
ब्याज		m		m
दरों		f		f
में		UNK		UNK
बढ़ोतरी		f		f
और		UNK		UNK
न्यूनतम		any		any
वेतन		m		m
की		f		f
सीमा		f		f
५०००		any		any
से		UNK		UNK
६५००		any		any
किए		m		any
जाने		any		any
के		m		m
कारण		m		m
यह		any		any
घाटा		m		m
हुआ		m		m
है		any		any
।		UNK		UNK
प्रधानमंत्री		m		m
पद		m		m
संभालने		any		any
के		UNK		UNK
बाद		m		m
डॉ.		m		m
मनमोहन		m		m
सिंह		m		m
अपनी		f		f
राजनीतिक		any		any
यात्रा		f		f
का		m		m
सिलसिला		m		f
आंध्र		m		m
प्रदेश		m		m
से		UNK		UNK
शुरू		m		m
करेंगे		m		m
।		UNK		UNK
वह		any		any
अगले		m		m
कुछ		UNK		UNK
दिनों		m		m
में		UNK		UNK
ही		UNK		UNK
आंध्र		m		m
प्रदेश		m		m
की		f		f
यात्रा		f		f
पर		UNK		UNK
जाने		any		any
की		f		f
तैयारी		f		f
में		UNK		UNK
हैं		any		any
।		UNK		UNK
आंध्र		m		m
के		m		m
सूखा		m		m
-		UNK		UNK
ग्रस्त		any		any
इलाके		m		m
उनकी		f		f
इस		any		any
यात्रा		f		f
में		UNK		UNK
अहम्		any		any
होंगे		m		m
।		UNK		UNK
जिनमें		any		any
रायलसीमा		m		f
,		UNK		UNK
तेलंगाना		m		m
और		UNK		UNK
तटीय		any		any
आंध्र		m		m
प्रदेश		m		m
उनके		any		m
कार्यक्रम		m		m
में		UNK		UNK
शरीक		m		any
करने		any		any
के		m		m
प्रयास		m		m
किए		m		m
जा		any		any
रहे		m		m
हैं		any		any
।		UNK		UNK
कांग्रेस		f		f
सूत्रों		m		m
के		UNK		UNK
मुताबिक		UNK		UNK
प्रधानमंत्री		m		m
की		f		f
इस		any		any
यात्रा		f		f
का		m		m
अहम्		any		m
मक़सद		m		m
यह		any		any
राजनीतिक		any		any
संदेश		m		m
देना		any		any
है		any		any
कि		UNK		UNK
वह		any		any
किसानों		m		m
और		UNK		UNK
कमजोर		any		any
आयवर्ग		m		m
के		m		m
लोगों		m		m
के		m		m
हितों		m		m
के		UNK		UNK
प्रति		UNK		UNK
संवेदनशील		any		any
है		any		any
।		UNK		UNK
ये		any		any
वही		any		any
इलाक़े		m		m
हैं		any		any
जिनमें		any		any
कांग्रेस		f		f
को		UNK		UNK
जबर्दस्त		any		any
समर्थन		m		m
मिला		any		m
है		any		any
और		UNK		UNK
पिछले		m		m
पाँच		any		any
सालों		m		m
में		UNK		UNK
4000		any		any
से		UNK		UNK
ज्यादा		UNK		UNK
लोगों		m		m
ने		UNK		UNK
आत्महत्याएँ		f		f
की		f		f
हैं		any		any
।		UNK		UNK
हौलनाक		any		any
तथ्य		m		m
यह		any		any
है		any		any
कि		UNK		UNK
कांग्रेस		f		f
सरकार		f		f
आने		any		any
के		UNK		UNK
बाद		m		m
भी		UNK		UNK
इन		any		any
इलाक़ों		m		m
में		UNK		UNK
गरीबी		f		f
के		m		m
शिकार		m		m
लोगों		m		m
की		f		f
आत्महत्याएँ		f		f
रुकी		f		f
नहीं		UNK		UNK
हैं		any		any
।		UNK		UNK
प्रधानमंत्री		m		m
की		f		f
इस		any		any
यात्रा		f		f
